// This is an input file for Hudson's mssel stepftn.c program
19 N0: 50000
1
n:	522 s: 0.000000 age: 0.016255
0.000000	0.011250
0.000025	0.009500
0.000045	0.008500
0.000055	0.009500
0.000085	0.008500
0.000155	0.009500
0.000165	0.011250
0.000220	0.013750
0.000225	0.011250
0.000320	0.009500
0.000350	0.011250
0.000365	0.009500
0.000425	0.008500
0.000430	0.009500
0.000445	0.011250
0.000490	0.013750
0.000495	0.011250
0.000530	0.013750
0.000535	0.011250
0.000540	0.013750
0.000550	0.011250
0.000575	0.009500
0.000580	0.011250
0.000680	0.013750
0.000690	0.017500
0.000725	0.013750
0.000740	0.011250
0.000745	0.017500
0.000750	0.013750
0.000755	0.017500
0.000760	0.013750
0.000780	0.017500
0.000885	0.013750
0.000890	0.011250
0.000895	0.013750
0.000915	0.017500
0.000940	0.013750
0.000945	0.017500
0.000970	0.013750
0.000995	0.017500
0.001035	0.025000
0.001040	0.017500
0.001055	0.025000
0.001060	0.017500
0.001065	0.025000
0.001115	0.017500
0.001125	0.025000
0.001165	0.017500
0.001215	0.013750
0.001230	0.011250
0.001240	0.013750
0.001250	0.017500
0.001265	0.025000
0.001300	0.035000
0.001310	0.025000
0.001450	0.017500
0.001525	0.025000
0.001530	0.017500
0.001555	0.025000
0.001560	0.017500
0.001595	0.013750
0.001605	0.011250
0.001610	0.013750
0.001630	0.017500
0.001640	0.013750
0.001675	0.017500
0.001680	0.013750
0.001685	0.017500
0.001700	0.013750
0.001710	0.017500
0.001720	0.013750
0.001725	0.011250
0.001730	0.017500
0.001785	0.025000
0.001820	0.017500
0.001895	0.013750
0.001920	0.017500
0.001930	0.013750
0.001940	0.017500
0.001960	0.025000
0.001985	0.017500
0.002030	0.025000
0.002160	0.035000
0.002280	0.025000
0.002315	0.035000
0.002320	0.025000
0.002370	0.035000
0.002380	0.025000
0.002390	0.035000
0.002490	0.025000
0.002515	0.035000
0.002600	0.025000
0.002605	0.035000
0.002705	0.025000
0.002785	0.035000
0.002790	0.025000
0.002795	0.035000
0.002925	0.025000
0.002930	0.035000
0.002955	0.025000
0.002975	0.035000
0.003025	0.025000
0.003045	0.035000
0.003050	0.025000
0.003130	0.017500
0.003165	0.013750
0.003180	0.011250
0.003190	0.009500
0.003195	0.011250
0.003210	0.008500
0.003220	0.007500
0.003225	0.011250
0.003245	0.013750
0.003250	0.017500
0.003280	0.013750
0.003285	0.017500
0.003355	0.025000
0.003405	0.017500
0.003440	0.013750
0.003460	0.017500
0.003465	0.013750
0.003475	0.017500
0.003505	0.013750
0.003570	0.017500
0.003600	0.025000
0.003620	0.017500
0.003660	0.025000
0.003665	0.017500
0.003705	0.025000
0.003710	0.017500
0.003735	0.013750
0.003775	0.011250
0.003790	0.009500
0.003805	0.011250
0.003820	0.013750
0.003840	0.017500
0.003845	0.013750
0.003865	0.011250
0.003875	0.009500
0.003880	0.011250
0.003925	0.013750
0.003940	0.017500
0.003945	0.013750
0.003955	0.011250
0.003965	0.013750
0.003975	0.011250
0.003990	0.009500
0.004015	0.006500
0.004020	0.007500
0.004035	0.005500
0.004040	0.004500
0.004050	0.005500
0.004060	0.004500
0.004070	0.003500
0.004075	0.004500
0.004090	0.003500
0.004095	0.005500
0.004125	0.004500
0.004130	0.005500
0.004135	0.006500
0.004140	0.007500
0.004175	0.009500
0.004180	0.011250
0.004195	0.008500
0.004210	0.007500
0.004215	0.008500
0.004220	0.011250
0.004225	0.009500
0.004230	0.011250
0.004240	0.013750
0.004245	0.011250
0.004250	0.009500
0.004260	0.011250
0.004285	0.013750
0.004290	0.017500
0.004295	0.013750
0.004315	0.017500
0.004325	0.013750
0.004330	0.017500
0.004390	0.025000
0.004450	0.017500
0.004455	0.025000
0.004805	0.017500
0.004825	0.025000
0.004850	0.035000
0.005155	0.045000
0.005180	0.055000
0.005185	0.045000
0.005300	0.035000
0.005310	0.045000
0.005400	0.055000
0.005490	0.065000
0.005500	0.055000
